Loaded ItemDrops
Item:Amber, Type:Material
Item:CapeOdin, Type:Shoulder
Item:CapeTest, Type:Shoulder
Item:CapeTrollHide, Type:Shoulder
Item:CapeWolf, Type:Shoulder
Item:Carrot, Type:Consumable
Item:CarrotSeeds, Type:Material
Item:CarrotSoup, Type:Consumable
Item:Chain, Type:Material
Item:Chitin, Type:Material
Item:Cloudberry, Type:Consumable
Item:Club, Type:OneHandedWeapon
Item:Coal, Type:Material
Item:Coins, Type:Material
Item:CookedLoxMeat, Type:Consumable
Item:CookedMeat, Type:Consumable
Item:Copper, Type:Material
Item:CopperOre, Type:Material
Item:CryptKey, Type:Misc
Item:Crystal, Type:Material
Item:Cultivator, Type:Tool
Item:Dandelion, Type:Material
Item:DeerHide, Type:Material
Item:DragonEgg, Type:Misc
Item:DragonTear, Type:Material
Item:ElderBark, Type:Material
Item:Entrails, Type:Material
Item:Feathers, Type:Material
Item:FineWood, Type:Material
Item:FirCone, Type:Material
Item:FishCooked, Type:Consumable
Item:FishingBait, Type:Ammo
Item:FishingRod, Type:TwoHandedWeapon
Item:FishRaw, Type:Material
Item:FishWraps, Type:Consumable
Item:Flametal, Type:Material
Item:FlametalOre, Type:Material
Item:Flax, Type:Material
Item:Flint, Type:Material
Item:FreezeGland, Type:Material
Item:GoblinTotem, Type:Misc
Item:GreydwarfEye, Type:Material
Item:Guck, Type:Material
Item:Hammer, Type:Tool
Item:HardAntler, Type:Material
Item:HealthUpgrade_Bonemass, Type:Consumable
Item:HealthUpgrade_GDKing, Type:Consumable
Item:HelmetBronze, Type:Helmet
Item:HelmetDrake, Type:Helmet
Item:HelmetDverger, Type:Helmet
Item:HelmetIron, Type:Helmet
Item:HelmetLeather, Type:Helmet
Item:HelmetOdin, Type:Helmet
Item:HelmetPadded, Type:Helmet
Item:HelmetTrollLeather, Type:Helmet
Item:HelmetYule, Type:Helmet
Item:Hoe, Type:Tool
Item:Honey, Type:Consumable
Item:Iron, Type:Material
Item:IronNails, Type:Material
Item:IronOre, Type:Material
Item:IronScrap, Type:Material
Item:KnifeBlackMetal, Type:OneHandedWeapon
Item:KnifeChitin, Type:OneHandedWeapon
Item:KnifeCopper, Type:OneHandedWeapon
Item:KnifeFlint, Type:OneHandedWeapon
Item:LeatherScraps, Type:Material
Item:LinenThread, Type:Material
Item:LoxMeat, Type:Material
Item:LoxPelt, Type:Material
Item:LoxPie, Type:Consumable
Item:MaceBronze, Type:OneHandedWeapon
Item:MaceIron, Type:OneHandedWeapon
Item:MaceNeedle, Type:OneHandedWeapon
Item:MaceSilver, Type:OneHandedWeapon
Item:MeadBaseFrostResist, Type:Material
Item:MeadBaseHealthMedium, Type:Material
Item:MeadBaseHealthMinor, Type:Material
Item:MeadBasePoisonResist, Type:Material
Item:MeadBaseStaminaMedium, Type:Material
Item:MeadBaseStaminaMinor, Type:Material
Item:MeadBaseTasty, Type:Material
Item:MeadFrostResist, Type:Consumable
Item:MeadHealthMedium, Type:Consumable
Item:MeadHealthMinor, Type:Consumable
Item:MeadPoisonResist, Type:Consumable
Item:MeadStaminaMedium, Type:Consumable
Item:MeadStaminaMinor, Type:Consumable
Item:MeadTasty, Type:Consumable
Item:Mushroom, Type:Consumable
Item:MushroomBlue, Type:Consumable
Item:MushroomYellow, Type:Consumable
Item:NeckTail, Type:Material
Item:NeckTailGrilled, Type:Consumable
Item:Needle, Type:Material
Item:Obsidian, Type:Material
Item:Ooze, Type:Material
Item:PickaxeAntler, Type:TwoHandedWeapon
Item:PickaxeBronze, Type:TwoHandedWeapon
Item:PickaxeIron, Type:TwoHandedWeapon
Item:PickaxeStone, Type:TwoHandedWeapon
Item:PineCone, Type:Material
Item:PlayerUnarmed, Type:OneHandedWeapon
Item:QueenBee, Type:Material
Item:QueensJam, Type:Consumable
Item:Raspberry, Type:Consumable
Item:RawMeat, Type:Material
Item:Resin, Type:Material
Item:RoundLog, Type:Material
Item:Ruby, Type:Material
Item:Sausages, Type:Consumable
Item:SerpentMeat, Type:Material
Item:SerpentMeatCooked, Type:Consumable
Item:SerpentScale, Type:Material
Item:SerpentStew, Type:Consumable
Item:SharpeningStone, Type:Material
Item:ShieldBanded, Type:Shield
Item:ShieldBlackmetal, Type:Shield
Item:ShieldBlackmetalTower, Type:Shield
Item:ShieldBronzeBuckler, Type:Shield
Item:ShieldIronSquare, Type:Shield
Item:ShieldIronTower, Type:Shield
Item:ShieldKnight, Type:Shield
Item:ShieldSerpentscale, Type:Shield
Item:ShieldSilver, Type:Shield
Item:ShieldWood, Type:Shield
Item:ShieldWoodTower, Type:Shield
Item:Silver, Type:Material
Item:SilverNecklace, Type:Material
Item:SilverOre, Type:Material
Item:SledgeIron, Type:TwoHandedWeapon
Item:SledgeStagbreaker, Type:TwoHandedWeapon
Item:SpearBronze, Type:OneHandedWeapon
Item:SpearChitin, Type:OneHandedWeapon
Item:SpearElderbark, Type:OneHandedWeapon
Item:SpearFlint, Type:OneHandedWeapon
Item:SpearWolfFang, Type:OneHandedWeapon
Item:StaminaUpgrade_Greydwarf, Type:Consumable
Item:StaminaUpgrade_Troll, Type:Consumable
Item:StaminaUpgrade_Wraith, Type:Consumable
Item:Stone, Type:Material
Item:SurtlingCore, Type:Material
Item:SwordBlackmetal, Type:OneHandedWeapon
Item:SwordBronze, Type:OneHandedWeapon
Item:SwordCheat, Type:OneHandedWeapon
Item:SwordIron, Type:OneHandedWeapon
Item:SwordIronFire, Type:OneHandedWeapon
Item:SwordSilver, Type:OneHandedWeapon
Item:Tankard, Type:OneHandedWeapon
Item:TankardOdin, Type:OneHandedWeapon
Item:Thistle, Type:Material
Item:Tin, Type:Material
Item:TinOre, Type:Material
Item:Torch, Type:Torch
Item:TrollHide, Type:Material
Item:TrophyBlob, Type:Trophie
Item:TrophyBoar, Type:Trophie
Item:TrophyBonemass, Type:Trophie
Item:TrophyDeathsquito, Type:Trophie
Item:TrophyDeer, Type:Trophie
Item:TrophyDragonQueen, Type:Trophie
Item:TrophyDraugr, Type:Trophie
Item:TrophyDraugrElite, Type:Trophie
Item:TrophyDraugrFem, Type:Trophie
Item:TrophyEikthyr, Type:Trophie
Item:TrophyFenring, Type:Trophie
Item:TrophyForestTroll, Type:Trophie
Item:TrophyFrostTroll, Type:Trophie
Item:TrophyGoblin, Type:Trophie
Item:TrophyGoblinBrute, Type:Trophie
Item:TrophyGoblinKing, Type:Trophie
Item:TrophyGoblinShaman, Type:Trophie
Item:TrophyGreydwarf, Type:Trophie
Item:TrophyGreydwarfBrute, Type:Trophie
Item:TrophyGreydwarfShaman, Type:Trophie
Item:TrophyHatchling, Type:Trophie
Item:TrophyLeech, Type:Trophie
Item:TrophyLox, Type:Trophie
Item:TrophyNeck, Type:Trophie
Item:TrophySerpent, Type:Trophie
Item:TrophySGolem, Type:Trophie
Item:TrophySkeleton, Type:Trophie
Item:TrophySkeletonPoison, Type:Trophie
Item:TrophySurtling, Type:Trophie
Item:TrophyTheElder, Type:Trophie
Item:TrophyWolf, Type:Trophie
Item:TrophyWraith, Type:Trophie
Item:Turnip, Type:Material
Item:TurnipSeeds, Type:Material
Item:TurnipStew, Type:Consumable
Item:VegvisirShard_Bonemass, Type:Material
Item:Wishbone, Type:Utility
Item:WitheredBone, Type:Material
Item:WolfFang, Type:Material
Item:WolfPelt, Type:Material
Item:Wood, Type:Material
Item:YagluthDrop, Type:Material
Item:YmirRemains, Type:Material



